Scenario,Seed,Method,DetectionF1,GranularityMacroF1,CleanFPR,PrecisionEntry,RecallEntry,F1Entry,PrecisionBlock,RecallBlock,F1Block,PrecisionSlice,RecallSlice,F1Slice
BS,20270001,DirectFlat,0.997660724368799,0,0.00118193674600587,0,NaN,0,0,0,0,NaN,0,0
BS,20270001,CalibratedFlat,0.997660724368799,0.999718988358089,0.00118193674600587,0,NaN,0,0.998876584817846,1,0.999437976716178,1,1,1
BS,20270001,FullHCL,0.997660724368799,0.991587029322878,0.00118193674600587,0,NaN,0,0.999916929722545,0.96698264781491,0.983174058645757,1,1,1
EB,20270001,DirectFlat,0.990901527147803,0.246509388541165,0.00324650450105344,0.327156549520767,1,0.49301877708233,0,0,0,NaN,NaN,NaN
EB,20270001,CalibratedFlat,0.990901527147803,0.971867478286639,0.00324650450105344,0.950201450443191,0.959635416666667,0.954895133209167,0.977925996506273,1,0.988839823364111,NaN,NaN,NaN
EB,20270001,FullHCL,0.990901527147803,0.958952788283987,0.00324650450105344,0.903041252634749,0.976236979166667,0.938213671202878,0.986098544048696,0.973367976615784,0.979691905365096,NaN,NaN,NaN
EBS,20270001,DirectFlat,0.999385093368717,0.1105413720516,0.00041304347826087,0.1987706243934,1,0.331624116154801,0,0,0,NaN,0,0
EBS,20270001,CalibratedFlat,0.999385093368717,0.987244716676479,0.00041304347826087,0.995578231292517,0.952799479166667,0.973719228210246,0.976313725490196,1,0.988014921819192,1,1,1
EBS,20270001,FullHCL,0.999385093368717,0.978798044780464,0.00041304347826087,0.941574803149606,0.97314453125,0.957099407715704,0.98599348534202,0.972686375321337,0.979294726625688,1,1,1
ES,20270001,DirectFlat,0.992729035385361,0.247283264911857,0.00258501838235294,0.328521013795316,1,0.494566529823714,NaN,NaN,NaN,NaN,0,0
ES,20270001,CalibratedFlat,0.992729035385361,0.989127837514934,0.00258501838235294,0.957884885353299,0.99951171875,0.978255675029869,0,NaN,0,1,1,1
ES,20270001,FullHCL,0.992729035385361,0.989249880554228,0.00258501838235294,0.957904583723106,1,0.978499761108457,NaN,NaN,NaN,1,1,1
BS,20270002,DirectFlat,0.997810396561512,0,0.00109899055682188,0,NaN,0,NaN,0,0,NaN,0,0
BS,20270002,CalibratedFlat,0.997810396561512,0.999817436812853,0.00109899055682188,0,NaN,0,0.999270013788628,1,0.999634873625705,1,1,1
BS,20270002,FullHCL,0.997810396561512,0.990698635799917,0.00109899055682188,0,NaN,0,1,0.963474025974026,0.981397271599835,1,1,1
EB,20270002,DirectFlat,0.988053744845018,0.244371967226155,0.00430439450878135,0.323402463417202,1,0.488743934452311,0,0,0,NaN,NaN,NaN
EB,20270002,CalibratedFlat,0.988053744845018,0.968842166846202,0.00430439450878135,0.936015204307887,0.9619140625,0.948787927436186,0.978036684247815,1,0.988896406256218,NaN,NaN,NaN
EB,20270002,FullHCL,0.988053744845018,0.955587484076314,0.00430439450878135,0.890706319702602,0.974934895833333,0.930919263346025,0.985519036771884,0.975048293625241,0.980255704806603,NaN,NaN,NaN
EBS,20270002,DirectFlat,0.999415014624634,0.110918544194107,0.000390760680791942,0.1995841995842,1,0.332755632582322,0,0,0,NaN,0,0
EBS,20270002,CalibratedFlat,0.999415014624634,0.987494407765827,0.000390760680791942,0.994739521466146,0.9541015625,0.973996843067209,0.977234869516935,1,0.988486380230272,1,1,1
EBS,20270002,FullHCL,0.999415014624634,0.978318972630754,0.000390760680791942,0.938833124215809,0.974283854166667,0.956230031948882,0.986638073243154,0.970941558441558,0.978726885943381,1,1,1
ES,20270002,DirectFlat,0.992996444348669,0.247382831373812,0.00248927696078431,0.328696768671089,1,0.494765662747624,NaN,NaN,NaN,NaN,0,0
ES,20270002,CalibratedFlat,0.992996444348669,0.989558424996015,0.00248927696078431,0.959387691346454,0.999674479166667,0.979116849992029,0,NaN,0,1,1,1
ES,20270002,FullHCL,0.992996444348669,0.989639783232388,0.00248927696078431,0.959400374765771,1,0.979279566464775,NaN,NaN,NaN,1,1,1
BS,20270003,DirectFlat,0.997934135374894,0,0.00103823134237205,0,NaN,0,0,0,0,NaN,0,0
BS,20270003,CalibratedFlat,0.997934135374894,0.999817850637523,0.00103823134237205,0,NaN,0,0.999271667880554,1,0.999635701275046,1,1,1
BS,20270003,FullHCL,0.997934135374894,0.992479039947394,0.00103823134237205,0,NaN,0,0.99991655540721,0.970440557175251,0.984958079894789,1,1,1
EB,20270003,DirectFlat,0.991879537510083,0.247054565925449,0.00289172316059596,0.328117489986649,1,0.494109131850899,0,0,0,NaN,NaN,NaN
EB,20270003,CalibratedFlat,0.991879537510083,0.975113739316376,0.00289172316059596,0.959604153147307,0.962727864583333,0.961163470913227,0.97836461979001,1,0.989064007719524,0,NaN,0
EB,20270003,FullHCL,0.991879537510083,0.95888432168829,0.00289172316059596,0.905791622561621,0.974934895833333,0.939092263071255,0.985411687134262,0.972032520325203,0.978676380305325,NaN,NaN,NaN
EBS,20270003,DirectFlat,0.999480452006754,0.110843503910373,0.000347448425624321,0.199422246746081,1,0.332530511731118,0,0,0,NaN,0,0
EBS,20270003,CalibratedFlat,0.999480452006754,0.988483772919041,0.000347448425624321,0.995431472081218,0.95751953125,0.976107516177203,0.978912319644839,1,0.989343802579921,1,1,1
EBS,20270003,FullHCL,0.999480452006754,0.980417084595657,0.000347448425624321,0.948555096856145,0.972330729166667,0.960295772383861,0.985849828234909,0.976109491415614,0.980955481403109,1,1,1
ES,20270003,DirectFlat,0.993692382338671,0.24764207980653,0.00224034926470588,0.329154612664738,1,0.495284159613059,NaN,NaN,NaN,NaN,0,0
ES,20270003,CalibratedFlat,0.993692382338671,0.990493689087714,0.00224034926470588,0.963288358958268,0.999348958333333,0.980987378175427,0,NaN,0,1,1,1
ES,20270003,FullHCL,0.993692382338671,0.990656444657403,0.00224034926470588,0.963311382878645,1,0.981312889314806,NaN,NaN,NaN,1,1,1
BS,20270004,DirectFlat,0.997586353771576,0,0.00121072765749634,0,NaN,0,0,0,0,NaN,0,0
BS,20270004,CalibratedFlat,0.997586353771576,0.999756295694557,0.00121072765749634,0,NaN,0,0.999025657681065,1,0.999512591389115,1,1,1
BS,20270004,FullHCL,0.997586353771576,0.992473295665443,0.00121072765749634,0,NaN,0,0.999832537888303,0.970497399219766,0.984946591330886,1,1,1
EB,20270004,DirectFlat,0.992630050029587,0.247253410600024,0.0026238173669897,0.328468323977546,1,0.494506821200048,0,0,0,NaN,NaN,NaN
EB,20270004,CalibratedFlat,0.992630050029587,0.973495241167303,0.0026238173669897,0.960476890413196,0.957194010416667,0.95883264041738,0.97659287471237,1,0.988157841917225,NaN,NaN,NaN
EB,20270004,FullHCL,0.992630050029587,0.958893736280232,0.0026238173669897,0.908152421436162,0.9736328125,0.939753357945173,0.98484224400692,0.971319467013325,0.97803411461529,NaN,NaN,NaN
EBS,20270004,DirectFlat,0.999284738929709,0.110945583574853,0.00047751345719743,0.199642567018684,1,0.332836750724559,0,0,0,NaN,0,0
EBS,20270004,CalibratedFlat,0.999284738929709,0.986954260180518,0.00047751345719743,0.993550577053632,0.952799479166667,0.972748421402459,0.976507936507937,1,0.988114359139094,1,1,1
EBS,20270004,FullHCL,0.999284738929709,0.979297740239632,0.00047751345719743,0.945890193589337,0.97021484375,0.957898119877872,0.984577522559475,0.975455136540962,0.979995100841022,1,1,1
ES,20270004,DirectFlat,0.992622112122355,0.247243460764588,0.00262331495098039,0.328450764460601,1,0.494486921529175,NaN,NaN,NaN,NaN,0,0
ES,20270004,CalibratedFlat,0.992622112122355,0.988849952214081,0.00262331495098039,0.957267623206488,0.9990234375,0.977699904428162,0,NaN,0,1,1,1
ES,20270004,FullHCL,0.992622112122355,0.989094093297246,0.00262331495098039,0.957307572452477,1,0.978188186594491,NaN,NaN,NaN,1,1,1
BS,20270005,DirectFlat,0.997526057509024,0,0.0012413007203614,0,NaN,0,0,0,0,NaN,0,0
BS,20270005,CalibratedFlat,0.997526057509024,0.999817258883249,0.0012413007203614,0,NaN,0,0.999269302589916,1,0.999634517766497,1,1,1
BS,20270005,FullHCL,0.997526057509024,0.992015679801939,0.0012413007203614,0,NaN,0,0.999748469858305,0.968800779980501,0.984031359603879,1,1,1
EB,20270005,DirectFlat,0.990568319226119,0.246717262980364,0.00336052389705882,0.327522789061251,1,0.493434525960728,0,0,0,NaN,NaN,NaN
EB,20270005,CalibratedFlat,0.990568319226119,0.97300746663007,0.00336052389705882,0.952611218568665,0.9619140625,0.957240038872692,0.977798997374075,1,0.988774894387447,0,NaN,0
EB,20270005,FullHCL,0.990568319226119,0.959593965825646,0.00336052389705882,0.905654671908074,0.974934895833333,0.939018654961593,0.984961788150218,0.975423177083333,0.9801692766897,NaN,NaN,NaN
EBS,20270005,DirectFlat,0.999544774663458,0.11097864961526,0.000303885391795094,0.199713951371733,1,0.332935948845779,0,0,0,NaN,0,0
EBS,20270005,CalibratedFlat,0.999544774663458,0.988025902585449,0.000303885391795094,0.995928062436376,0.955403645833333,0.975245057318491,0.977911965676148,1,0.988832650437857,1,1,1
EBS,20270005,FullHCL,0.999544774663458,0.980453096082827,0.000303885391795094,0.947160259452618,0.974446614583333,0.960609707180104,0.986758779504894,0.974813129671758,0.980749581068378,1,1,1
ES,20270005,DirectFlat,0.991794237133095,0.246935412563804,0.00292011335784314,0.327907349095373,1,0.493870825127607,NaN,NaN,NaN,NaN,0,0
ES,20270005,CalibratedFlat,0.991794237133095,0.987808752283377,0.00292011335784314,0.952691174189546,0.999674479166667,0.975617504566754,0,NaN,0,1,1,1
ES,20270005,FullHCL,0.991794237133095,0.987890097673311,0.00292011335784314,0.952705845867576,1,0.975780195346621,NaN,NaN,NaN,1,1,1
BS,20270006,DirectFlat,0.997631435107395,0,0.00119096091205212,0,NaN,0,0,0,0,NaN,0,0
BS,20270006,CalibratedFlat,0.997631435107395,0.999757242272212,0.00119096091205212,0,NaN,0,0.999029440310579,1,0.999514484544425,1,1,1
BS,20270006,FullHCL,0.997631435107395,0.991981248457932,0.00119096091205212,0,NaN,0,0.999832859769346,0.968588082901554,0.983962496915865,1,1,1
EB,20270006,DirectFlat,0.99130202060752,0.246074975969241,0.00311422000766577,0.326391840203995,1,0.492149951938481,0,0,0,NaN,NaN,NaN
EB,20270006,CalibratedFlat,0.99130202060752,0.974695455571215,0.00311422000766577,0.953836255428663,0.965169270833333,0.959469298600437,0.980044345898004,1,0.989921612541993,NaN,NaN,NaN
EB,20270006,FullHCL,0.99130202060752,0.961225148796729,0.00311422000766577,0.907717867391633,0.978190104166667,0.941637289463376,0.986910994764398,0.974789915966387,0.980813008130081,NaN,NaN,NaN
EBS,20270006,DirectFlat,0.995086630462891,0.110033579583613,0.00330090340514246,0.197677037418358,1,0.33010073875084,0,0,0,NaN,0,0
EBS,20270006,CalibratedFlat,0.995086630462891,0.979323426386398,0.00330090340514246,0.954940193347534,0.948567708333333,0.951743284069568,0.972828227140269,1,0.986226995089624,1,1,1
EBS,20270006,FullHCL,0.995086630462891,0.973271862659333,0.00330090340514246,0.910074683737235,0.971842447916667,0.939944903581267,0.984394149848844,0.975388601036269,0.979870684396731,1,1,1
ES,20270006,DirectFlat,0.992541934789047,0.247213616062447,0.00265203737745098,0.328398097172484,1,0.494427232124894,NaN,NaN,NaN,NaN,0,0
ES,20270006,CalibratedFlat,0.992541934789047,0.988855277822003,0.00265203737745098,0.956840137114366,0.99951171875,0.977710555644006,0,NaN,0,1,1,1
ES,20270006,FullHCL,0.992541934789047,0.988977317946677,0.00265203737745098,0.956860302133624,1,0.977954635893355,NaN,NaN,NaN,1,1,1
BS,20270007,DirectFlat,0.99767031987521,0,0.00117041198501873,0,NaN,0,0,0,0,NaN,0,0
BS,20270007,CalibratedFlat,0.99767031987521,0.999736682195665,0.00117041198501873,0,NaN,0,0.998947283180824,1,0.999473364391331,1,1,1
BS,20270007,FullHCL,0.99767031987521,0.991762089134196,0.00117041198501873,0,NaN,0,0.999748785798024,0.967817769130999,0.983524178268391,1,1,1
EB,20270007,DirectFlat,0.988090458985682,0.245524296675192,0.0042616357019728,0.325423728813559,1,0.491048593350384,0,0,0,NaN,NaN,NaN
EB,20270007,CalibratedFlat,0.988090458985682,0.96771932491795,0.0042616357019728,0.935535090504922,0.958984375,0.947114611798746,0.976917585468391,1,0.988324038037154,NaN,NaN,NaN
EB,20270007,FullHCL,0.988090458985682,0.954281616865818,0.0042616357019728,0.889681831697889,0.973958333333333,0.92991452991453,0.98415305033254,0.973205586229295,0.978648703817106,NaN,NaN,NaN
EBS,20270007,DirectFlat,0.99933416697793,0.110855503531895,0.000445110300503735,0.199448141535465,1,0.332566510595686,0,0,0,NaN,0,0
EBS,20270007,CalibratedFlat,0.99933416697793,0.987987984392752,0.000445110300503735,0.994415298696903,0.956380208333333,0.975026964241268,0.978116079923882,1,0.988936988936989,1,1,1
EBS,20270007,FullHCL,0.99933416697793,0.979473589054757,0.000445110300503735,0.944084662770494,0.972819010416667,0.958236472945892,0.986054142739951,0.974383916990921,0.98018429421838,1,1,1
ES,20270007,DirectFlat,0.992515211889505,0.247203669429468,0.00266161151960784,0.328380545163014,1,0.494407338858936,NaN,NaN,NaN,NaN,0,0
