Scenario,Method,N,DetectionF1_Mean,DetectionF1_SD,GranMacroF1_Mean,GranMacroF1_SD,CleanFPR_Mean,PrecisionEntry_Mean,RecallEntry_Mean,PrecisionBlock_Mean,RecallBlock_Mean,PrecisionSlice_Mean,RecallSlice_Mean
BS,DirectFlat,30,0.997669086879001,0.000307380983990771,0,0,0.00117236808192169,0,NaN,0,0,NaN,0
BS,CalibratedFlat,30,0.997669086879001,0.000307380983990771,0.999775633583694,5.77676237216614e-05,0.00117236808192169,0,NaN,0.99910296264863,1,1,1
BS,FullHCL,30,0.997669086879001,0.000307380983990771,0.991609323061515,0.000506443749353454,0.00117236808192169,0,NaN,0.999796386675488,0.967183645514491,1,1
EB,DirectFlat,30,0.983368932425267,0.0168604311736779,0.243421524065367,0.00572670457408794,0.00610002298597483,0.321811631037286,1,0,0,NaN,NaN
EB,CalibratedFlat,30,0.983368932425267,0.0168604311736779,0.962145651859273,0.0205560614569172,0.00610002298597483,0.925869277220386,0.956070963541667,0.969164194556199,1,0,NaN
EB,FullHCL,30,0.983368932425267,0.0168604311736779,0.949417003539441,0.0200458256625544,0.00610002298597483,0.876079701099517,0.973573133680555,0.980553560405577,0.974366938587802,NaN,NaN
EBS,DirectFlat,30,0.999187686290051,0.000802987534952014,0.110758861403947,0.000208463615012356,0.000544027913736345,0.199239785678714,1,0,0,NaN,0
EBS,CalibratedFlat,30,0.999187686290051,0.000802987534952014,0.987325734719326,0.00173312967391567,0.000544027913736345,0.99281824657583,0.954736328125,0.977424263847808,1,1,1
EBS,FullHCL,30,0.999187686290051,0.000802987534952014,0.978885515951028,0.00142772714514899,0.000544027913736345,0.941371590708067,0.972987196180556,0.986037306376151,0.97354624794741,1,1
ES,DirectFlat,30,0.992754267695153,0.000536486948683028,0.247292710326863,0.000199740285983337,0.00257608251633987,0.32853777529751,1,NaN,NaN,NaN,0
ES,CalibratedFlat,30,0.992754267695153,0.000536486948683028,0.98917340572603,0.000773036192216499,0.00257608251633987,0.958044360191188,0.999533420138889,0,NaN,1,1
ES,FullHCL,30,0.992754267695153,0.000536486948683028,0.989280673721476,0.00078376323191972,0.00257608251633987,0.958051958136388,0.999972873263889,0,NaN,1,1
