Scenario,Seed,GeneratorSeed,TargetEntryRate,TargetBlockRate,TargetSliceRate,ActualEntryRate,ActualBlockRate,ActualSliceRate,ActualTotalRate,NumEntry,NumBlock,NumSlice,NumTotal,NumBlocks,NumSlices,ProtocolPass,DisjointPass
Entry,20280001,20281001,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280001,20282001,0,0.1,0,0,0.100009955248786,0,0.100009955248786,0,675088,0,675088,2805,0,1,1
Slice,20280001,20283001,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280001,20284001,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,337510,675024,655360,1667894,2787,10,1,1
Entry,20280002,20281002,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280002,20282002,0,0.1,0,0,0.100021806735437,0,0.100021806735437,0,675168,0,675168,2762,0,1,1
Slice,20280002,20283002,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280002,20284002,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,337510,675024,655360,1667894,2861,10,1,1
Entry,20280003,20281003,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280003,20282003,0,0.1,0,0,0.100045509708738,0,0.100045509708738,0,675328,0,675328,2701,0,1,1
Slice,20280003,20283003,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280003,20284003,0.05,0.1,0.1,0.0499999407425668,0.100031287924757,0.0970873786407767,0.247118607308101,337510,675232,655360,1668102,2816,10,1,1
Entry,20280004,20281004,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280004,20282004,0,0.1,0,0,0.100021806735437,0,0.100021806735437,0,675168,0,675168,2780,0,1,1
Slice,20280004,20283004,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280004,20284004,0.05,0.1,0.1,0.0499999407425668,0.100038398816748,0.0970873786407767,0.247125718200091,337510,675280,655360,1668150,2795,10,1,1
Entry,20280005,20281005,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280005,20282005,0,0.1,0,0,0.100043139411408,0,0.100043139411408,0,675312,0,675312,2734,0,1,1
Slice,20280005,20283005,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280005,20284005,0.05,0.1,0.1,0.0499999407425668,0.100002844356796,0.0970873786407767,0.24709016374014,337510,675040,655360,1667910,2748,10,1,1
Entry,20280006,20281006,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280006,20282006,0,0.1,0,0,0.100045509708738,0,0.100045509708738,0,675328,0,675328,2717,0,1,1
Slice,20280006,20283006,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280006,20284006,0.05,0.1,0.1,0.0499999407425668,0.100024177032767,0.0970873786407767,0.24711149641611,337510,675184,655360,1668054,2861,10,1,1
Entry,20280007,20281007,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280007,20282007,0,0.1,0,0,0.100000474059466,0,0.100000474059466,0,675024,0,675024,2798,0,1,1
Slice,20280007,20283007,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280007,20284007,0.05,0.1,0.1,0.0499999407425668,0.100040769114078,0.0970873786407767,0.247128088497421,337510,675296,655360,1668166,2805,10,1,1
Entry,20280008,20281008,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280008,20282008,0,0.1,0,0,0.100014695843447,0,0.100014695843447,0,675120,0,675120,2719,0,1,1
Slice,20280008,20283008,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280008,20284008,0.05,0.1,0.1,0.0499999407425668,0.100036028519417,0.0970873786407767,0.247123347902761,337510,675264,655360,1668134,2746,10,1,1
Entry,20280009,20281009,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280009,20282009,0,0.1,0,0,0.100031287924757,0,0.100031287924757,0,675232,0,675232,2711,0,1,1
Slice,20280009,20283009,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280009,20284009,0.05,0.1,0.1,0.0499999407425668,0.100012325546116,0.0970873786407767,0.24709964492946,337510,675104,655360,1667974,2728,10,1,1
Entry,20280010,20281010,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,337510,0,0,337510,0,0,1,1
Block,20280010,20282010,0,0.1,0,0,0.100019436438107,0,0.100019436438107,0,675152,0,675152,2786,0,1,1
Slice,20280010,20283010,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0,0,655360,655360,0,10,1,1
Mixed,20280010,20284010,0.05,0.1,0.1,0.0499999407425668,0.100052620600728,0.0970873786407767,0.247139939984072,337510,675376,655360,1668246,2807,10,1,1
