Scenario,Seed,GeneratorSeed,Method,Rank,TargetEntryRate,TargetBlockRate,TargetSliceRate,ActualEntryRate,ActualBlockRate,ActualSliceRate,ActualTotalRate,NRE,MPSNR,MSSIM,SAMdeg,DetectionPrecision,DetectionRecall,DetectionF1,MaskPrecision,MaskRecall,MaskF1,LevelMacroF1,LevelF1Entry,LevelF1Block,LevelF1Slice,SelectedFraction,rESS,Iterations,FinalRelChange,ToleranceMet,OutOfRangeFraction,RuntimeSec
Entry,20280001,20281001,tSVD-LRA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.556281915432205,18.5951789039788,0.195867265110874,31.9877153206705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.102752685546875,1.9229047
Entry,20280001,20281001,TNN-TRPCA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.0556391233821968,43.0836444662917,0.98314912995568,2.82630897634564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.20721613319175e-05,80.3939338
Entry,20280001,20281001,p-TRPCA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.05198809330512,42.2224215448257,0.986326823401599,2.30806536591918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.75528576304612e-05,298.7540342
Entry,20280001,20281001,HCL-TRPCA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.235650032193196,26.3818486576147,0.715810272606724,8.00477967242844,0.437047033408795,0.999845930490948,0.608228599854728,0.513548758182665,0.999955556872389,0.678591966156358,0.682767327491033,0.682767327491033,NaN,NaN,0.0973572962492415,0.902837331465735,80,0.000864677582760314,0,0.00474770555218447,157.826408
Block,20280001,20282001,tSVD-LRA,25,0,0.1,0,0,0.100009955248786,0,0.100009955248786,0.780067652513724,15.6638547312122,0.160244932944465,39.634767881217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.154255987371056,1.6832156
Block,20280001,20282001,TNN-TRPCA,25,0,0.1,0,0,0.100009955248786,0,0.100009955248786,0.0588243495724605,42.2698770098125,0.981639687509894,2.97979009033467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0590109223301e-05,74.3236605
Block,20280001,20282001,p-TRPCA,25,0,0.1,0,0,0.100009955248786,0,0.100009955248786,0.0551639003649314,41.5596261979121,0.98494151237258,2.46849646955802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000114959420509709,314.7357243
Block,20280001,20282001,HCL-TRPCA,25,0,0.1,0,0,0.100009955248786,0,0.100009955248786,0.305503467514556,23.9416346064376,0.71535097219413,12.0287696937784,0.699798431878901,0.998711279122129,0.822952712607734,0.765335830540603,0.999967411655962,0.867058838640071,0.946483159788948,NaN,0.946483159788948,NaN,0.130670343787925,0.869590885831307,80,0.00277072426315364,0,0.0125205030719053,152.961609
Slice,20280001,20283001,tSVD-LRA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.754741907016058,17.2895260720614,0.164539094155666,40.3439457735898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144653172168917,1.7461695
Slice,20280001,20283001,TNN-TRPCA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.0718875676440083,42.3620003714034,0.981688660732901,3.79045579798528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9258049529733e-05,74.3106216
Slice,20280001,20283001,p-TRPCA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.0684879485186246,41.7116611356915,0.985451953569084,3.42243826150725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99243875151699e-05,301.5714322
Slice,20280001,20283001,HCL-TRPCA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.38981624520013,27.7028694824646,0.745352928116415,20.5489686584826,0.696890855243688,0.998886108398438,0.820997819050139,0.717841773594166,0.999790954589844,0.835675404048649,0.999442743837739,NaN,NaN,0.999442743837739,0.135220722087379,0.865049605237516,80,0.00275609656248065,0,0.0188320122876214,152.2315844
Mixed,20280001,20284001,tSVD-LRA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,1.18899986905862,12.1320758541561,0.0638661860644857,52.7121381843142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.247974580931432,1.7133266
Mixed,20280001,20284001,TNN-TRPCA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.0688626082082562,39.8509193597061,0.974391857622489,3.43670807219707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000148736157463592,74.2021861
Mixed,20280001,20284001,p-TRPCA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.0645160050376394,39.6762097490949,0.979678410209792,2.98349107119413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000155698905870752,328.8428296
Mixed,20280001,20284001,HCL-TRPCA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.373211452683271,26.6442779168453,0.704113454413634,19.4893625122401,0.954079422300029,0.999526348796746,0.976274267349528,0.978665486827443,0.999961028698466,0.989198658039353,0.955340839795008,0.885320485650977,0.981281440296532,0.999420593437514,0.252464368505385,0.748040392861288,80,0.00255324143600283,0,0.0247075349381826,151.0033796
Entry,20280002,20281002,tSVD-LRA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.556449562169063,18.5926412762121,0.195766675468531,32.0177619921153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.103145858616505,1.7026286
Entry,20280002,20281002,TNN-TRPCA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.0555907465213603,43.1210913872349,0.983148204311723,2.82969974615156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56276073270631e-05,75.1120115
Entry,20280002,20281002,p-TRPCA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.0518480487127515,42.2832013501799,0.986346075932005,2.31133092857878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25897394569175e-05,312.6256316
Entry,20280002,20281002,HCL-TRPCA,25,0.05,0,0,0.0499999407425668,0,0,0.0499999407425668,0.237419908977117,26.2693977477976,0.714191705375231,8.05960664037553,0.43613042466851,0.999878522117863,0.607346417226826,0.511726283614133,0.999988148499304,0.677006461034207,0.681960219180626,0.681960219180626,NaN,NaN,0.0977072113925971,0.902488115882311,80,0.000923161792290826,0,0.00466178227396845,151.3396748
Block,20280002,20282002,tSVD-LRA,25,0,0.1,0,0,0.100021806735437,0,0.100021806735437,0.779968507585467,15.6689367955416,0.159683271207061,39.64454456557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.154395094195616,1.7054038
Block,20280002,20282002,TNN-TRPCA,25,0,0.1,0,0,0.100021806735437,0,0.100021806735437,0.0589343636758329,42.2749137826901,0.981965986395374,2.96429666858322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.22203049150485e-05,74.3335266
Block,20280002,20282002,p-TRPCA,25,0,0.1,0,0,0.100021806735437,0,0.100021806735437,0.055011244327963,41.5898038289911,0.985328121401687,2.43410411647844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.05157292930825e-05,316.0825669
Block,20280002,20282002,HCL-TRPCA,25,0,0.1,0,0,0.100021806735437,0,0.100021806735437,0.303555550444518,24.0751679913476,0.717088087241629,12.4947911692322,0.692187602640741,0.998831401962178,0.817706615578621,0.750451018250816,0.999942236598891,0.857416089291395,0.93909630317371,NaN,0.93909630317371,NaN,0.133274559835786,0.866991876461703,80,0.00263403868532878,0,0.012494133514108,152.8800322
Slice,20280002,20283002,tSVD-LRA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.755404819398071,17.2687976456857,0.165509895370308,40.3683517190759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144539842327822,1.7541466
Slice,20280002,20283002,TNN-TRPCA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.0656027575853505,42.4239184610491,0.980840709813524,3.46790326188325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.74790939775485e-05,74.6919231
Slice,20280002,20283002,p-TRPCA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.0645085855755838,41.7597840799967,0.984100315181962,3.19625550790054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88861498786408e-05,301.4438154
Slice,20280002,20283002,HCL-TRPCA,25,0,0,0.1,0,0,0.0970873786407767,0.0970873786407767,0.38613326244784,27.5991589393736,0.743528726787502,20.6975874701526,0.68651752913132,0.998860168457031,0.813746397354196,0.711352337118169,0.9999267578125,0.83130827487346,0.999429759239313,NaN,NaN,0.999429759239313,0.136472831652002,0.863799999063675,80,0.00262552899027985,0,0.0239678540276092,152.9493898
Mixed,20280002,20284002,tSVD-LRA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,1.18838310170239,12.1358172383476,0.0639219504158937,52.6826362744978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.247755032141232,1.8008983
Mixed,20280002,20284002,TNN-TRPCA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.0763555578666516,40.1642240350062,0.975757992896787,3.9598100283479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.99231549605582e-05,74.1199089
Mixed,20280002,20284002,p-TRPCA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.0727382027668573,39.9184258277487,0.980533070125637,3.56360400126552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.85898627123786e-05,322.5256394
Mixed,20280002,20284002,HCL-TRPCA,25,0.05,0.1,0.1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.375800522241259,26.6170283551222,0.70508167203094,19.6213538921922,0.954984407258129,0.999524550121291,0.976746979269259,0.977686864595308,0.999965825166347,0.988700854675521,0.955845086758804,0.886740468792608,0.981377253350873,0.999417538132931,0.252718286606872,0.747786982542313,80,0.00269120421874439,0,0.0251024857308101,149.6709508
