Scenario,Method,N,ActualTotalRate_Mean,ActualTotalRate_Std,NRE_Mean,NRE_Std,MPSNR_Mean,MPSNR_Std,MSSIM_Mean,MSSIM_Std,SAMdeg_Mean,SAMdeg_Std,DetectionF1_Mean,DetectionF1_Std,MaskF1_Mean,MaskF1_Std,LevelMacroF1_Mean,LevelMacroF1_Std,SelectedFraction_Mean,SelectedFraction_Std,rESS_Mean,rESS_Std,Iterations_Mean,Iterations_Std,FinalRelChange_Mean,FinalRelChange_Std,OutOfRangeFraction_Mean,OutOfRangeFraction_Std,RuntimeSec_Mean,RuntimeSec_Std
Entry,tSVD-LRA,10,0.0499999407425668,0,0.556220862395851,0.000267037339895595,18.5960703830778,0.00418924427255595,0.195951497618367,0.000228675921662366,31.9933552333191,0.0186879706611875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.102952797898968,0.000133912454270999,1.72722036,0.0806136687877324
Entry,TNN-TRPCA,10,0.0499999407425668,0,0.055600012967023,7.2930866745265e-05,43.1161812903046,0.0457558443101823,0.983139587531625,1.03151100754747e-05,2.82910817474403,0.00131092506945611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.58350083434466e-05,2.85489934703796e-06,74.74233183,2.08910604066538
Entry,p-TRPCA,10,0.0499999407425668,0,0.0518720824484294,9.243659128772e-05,42.2766450062149,0.0438618593195003,0.986335348624551,1.58544313248807e-05,2.31052427504483,0.00194937222428511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.09305313258495e-05,3.99762042395881e-06,297.01264181,7.26858142287801
Entry,HCL-TRPCA,10,0.0499999407425668,0,0.234396209013454,0.00194772759767603,26.4531276700977,0.121203945972622,0.716311501889466,0.00155911665140942,8.03432286433492,0.0725980358091332,0.607216287227149,0.00193133648011669,0.674152901255277,0.00488202595456103,0.68414940170595,0.001672893503164,0.0983378141829111,0.00108276513395522,0.901858773812634,0.00108060043609677,80,0,0.000874978632973265,4.34887263664573e-05,0.00469221096594357,8.91846025726505e-05,152.23504038,3.04553039958559
Block,tSVD-LRA,10,0.100025362181432,1.56132060684117e-05,0.78058413379839,0.0012456592498143,15.6604019888624,0.0134455718901027,0.160937537105279,0.00164804076366505,39.6165926027262,0.0826521986010273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.154061178559238,0.000414201328236717,1.7150895,0.0463070979246643
Block,TNN-TRPCA,10,0.100025362181432,1.56132060684117e-05,0.0588234133294696,0.000182387898947787,42.3274557934798,0.0732134463574252,0.981723275787507,0.000122987910591111,2.96855536071708,0.0124858091347579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.44418423847087e-05,1.14836495734639e-05,74.24582717,1.02178894600672
Block,p-TRPCA,10,0.100025362181432,1.56132060684117e-05,0.0549699055737112,0.000151473714547526,41.6365600718983,0.0749937253639141,0.985067170202493,0.00014440360456611,2.447467953226,0.0123953142767825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000117374160914745,1.56227380722009e-05,306.25219541,10.4723169260751
Block,HCL-TRPCA,10,0.100025362181432,1.56132060684117e-05,0.306955123879944,0.00283774843012946,23.9368209040503,0.0830615174791576,0.716214104124204,0.00232653727750189,12.3456922879986,0.488184156941578,0.818807496935534,0.00350343818934756,0.863161678867885,0.00504552362524107,0.941469136886776,0.00274048699417906,0.131734088786597,0.00135874764571262,0.868529267606274,0.00135603106676587,80,0,0.00259009887062652,0.000203019487599237,0.0128001685281402,0.000488189095036076,150.83944319,2.87851312171006
Slice,tSVD-LRA,10,0.0970873786407767,1.46284727857363e-17,0.754936669441842,0.000265605828743784,17.219007682239,0.187324418636723,0.163450114914117,0.00816107550303308,40.3535317755647,0.0210389774032411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.145129750075849,0.00316795434727349,1.73712392,0.0575968789388376
Slice,TNN-TRPCA,10,0.0970873786407767,1.46284727857363e-17,0.0615343375615847,0.00548806964769256,42.2689169146222,0.166457231510626,0.980355144637571,0.000862063036476605,3.25083802928047,0.314066869799989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000137047628754551,6.20746735542539e-05,74.14801188,0.949091618134869
