Seed,Rank,ObjectiveMostlyDescending,NREWorsenedAfterBest,Diagnosis
20280001,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280001,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280002,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280002,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280003,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280003,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280004,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280004,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280005,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280005,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280006,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280006,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280007,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280007,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280008,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280008,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280009,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280009,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280010,25,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
20280010,30,1,1,OBJECTIVE_REFERENCE_MISMATCH_CANDIDATE
