EffectType,RankA,BudgetA,RankB,BudgetB,N,MeanDeltaNRE,StdDeltaNRE,CI95Low,CI95High,MeanRelativeImprovementPct,StdRelativeImprovementPct
BUDGET_80_TO_320,25,80,25,320,10,0.150757982664302,0.0114611580556159,0.144443885168048,0.157695954503945,-40.4244130332932,3.43490357784967
BUDGET_80_TO_320,30,80,30,320,10,0.146083841646027,0.00978751839652836,0.140660658650798,0.152016661132106,-42.6399829987182,3.06980277146224
BUDGET_80_TO_320,61,80,61,320,10,0.0243866967496984,0.00484098150948522,0.0217890775956959,0.0273675713662618,-2.44233244930057,0.583318913940719
BUDGET_80_TO_320,105,80,105,320,10,0.0326745193418358,0.0016498290419721,0.0316107715651963,0.033514777472401,-1.70213710095119,0.0760524078288112
RANK_VS_25,25,80,30,80,10,-0.0304762283765683,0.00194523391896308,-0.0314872001212732,-0.0292397371716112,8.16227983177599,0.436873115892057
RANK_VS_25,25,80,61,80,10,0.632860696327227,0.0359712177784537,0.611212466108272,0.653340796192518,-169.589490679645,9.59837719719039
RANK_VS_25,25,80,105,80,10,1.54596465493528,0.0138845279416848,1.53756115898389,1.55336910473905,-414.329271662196,7.15984322148775
RANK_VS_25,25,160,30,160,10,-0.0330226482706759,0.0018901845480285,-0.0341391166083118,-0.0319508081418093,7.40415187725779,0.349197177818908
RANK_VS_25,25,160,61,160,10,0.573700403310037,0.0333477826511946,0.553587711218785,0.592826865336785,-128.682704558253,7.33558773753674
RANK_VS_25,25,160,105,160,10,1.49217464019579,0.0133981744676723,1.48409571612327,1.49946820327591,-334.746416431279,5.30695067936563
RANK_VS_25,25,320,30,320,10,-0.0351503693948433,0.00177844970372832,-0.0361423721195659,-0.0340578229624323,6.70820334108384,0.305633257505761
RANK_VS_25,25,320,61,320,10,0.506489410412623,0.0309389535712861,0.487962133269897,0.524081811895791,-96.6946640356099,6.13628368702307
RANK_VS_25,25,320,105,320,10,1.42788119161281,0.0140591788608362,1.41938303848521,1.43565223932994,-272.6140560459,6.0894333560282
RANK_X_BUDGET_DID,25,80,30,320,10,-0.00467414101827498,0.00292069740724162,-0.00641257972851769,-0.00298658675533888,NaN,NaN
RANK_X_BUDGET_DID,25,80,61,320,10,-0.126371285914603,0.0120225074668357,-0.133790591385088,-0.11985412496004,NaN,NaN
RANK_X_BUDGET_DID,25,80,105,320,10,-0.118083463322466,0.010837613342001,-0.124755965327499,-0.112222164284151,NaN,NaN
