Rank,Budget,N,NRE_Mean,NRE_Std,MPSNR_Mean,MPSNR_Std,SAMdeg_Mean,SAMdeg_Std,DetectionF1_Mean,DetectionF1_Std,MaskF1_Mean,MaskF1_Std,LevelMacroF1_Mean,LevelMacroF1_Std,FinalRelChange_Mean,FinalRelChange_Std,ToleranceMetRate,MaskAgreement_Min,RuntimeSec_Mean
25,80,10,0.373188227106159,0.00476577608344885,26.4367144877723,0.352431687401484,19.4798230177792,0.264448212957407,0.976554014766385,0.000533093283738335,0.989586377445717,0.000438288858095673,0.95569727442202,0.000681745073078244,0.00261781202715222,9.07055386761203e-05,0,1,159.29579076
25,160,10,0.445829612997235,0.00570300889154975,26.7477234739975,0.548801880003941,23.0416348539751,0.3351687174482,0.976602253301304,0.000503695276890444,0.989586377445717,0.000438288858095673,0.955905502487427,0.000605930589909531,0.00144721415601312,5.50055593574531e-05,0,1,303.04655235
25,320,10,0.523946209770461,0.00946834975525656,27.0249511796989,0.695595840787359,26.5762346871368,0.429527942311127,0.976506827850135,0.00055009719489183,0.989586377445717,0.000438288858095673,0.955978619038333,0.000653345095591714,0.000795142477596196,4.45793243548313e-05,0,1,595.37764528
30,80,10,0.342711998729591,0.00316868891315016,26.7397280733367,0.372793260496266,18.09742405941,0.265227920093611,0.979466180406701,0.000582101639048106,0.989664138018058,0.000434530593198379,0.959552574804796,0.000789165728695302,0.00261258337256693,8.79168371254486e-05,0,1,158.90898474
30,160,10,0.412806964726559,0.0043054862785968,26.9140340021742,0.611384062172892,21.5504297810657,0.335540470505018,0.979671608452592,0.000558586502612052,0.989664138018058,0.000434530593198379,0.95991092805948,0.000727650860592828,0.00140602563524631,5.04826902961073e-05,0,1,300.30399425
30,320,10,0.488795840375618,0.0088089841067581,27.154476746791,0.845839463572191,24.9403095793326,0.41276855191109,0.979732226881555,0.000538387038728779,0.989664138018058,0.000434530593198379,0.960140252055524,0.000674335478650619,0.000783236392933096,3.23487355000142e-05,0,1,591.8655059
61,80,10,1.00604892343339,0.0370498352003096,13.8214760716177,0.326818058378472,43.1644668168237,1.36813243788536,0.895890634489491,0.0109518812802837,0.882925162625461,0.0109276331863957,0.847178156132554,0.0148642104017584,0.00200791125027735,0.000193596161595805,0,1,159.37411062
61,160,10,1.01953001630727,0.0349583492010939,13.7248712260847,0.30754638639163,43.3636895668414,1.34296323746912,0.895440497833628,0.0109206486777378,0.882925162625461,0.0109276331863957,0.846696261228818,0.0148709057011967,0.00102518378308568,0.000135779891928916,0,1,307.03154986
61,320,10,1.03043562018308,0.0325848078269253,13.6480069405411,0.287569382507574,43.5200338794541,1.31368874859625,0.895111452191498,0.0108688034962968,0.882925162625461,0.0109276331863957,0.846377539033159,0.01485751629499,0.000546593591601656,8.61041998787408e-05,0,1,599.01012968
105,80,10,1.91915288204144,0.0136945910038309,8.35244961592182,0.0624917608536686,63.8084380290214,0.16221965508529,0.514387041122639,0.00874439453507673,0.524572106917364,0.00903258414787927,0.416867977648586,0.006712176570707,0.00124838190721156,1.88671096219261e-05,0,1,164.39517944
105,160,10,1.93800425319303,0.0143866144088399,8.28331984326158,0.0642515647568232,63.9982373159906,0.166208410803912,0.51260955248457,0.00869170809986638,0.524572106917364,0.00903258414787927,0.414611068026804,0.00658968421208758,0.000546441927405766,1.5320926001587e-05,0,1,316.17289854
105,320,10,1.95182740138327,0.0151690394909213,8.23389139754734,0.0664240044254072,64.1346462446036,0.171278117220655,0.511606639238269,0.00865515981642771,0.524572106917364,0.00903258414787927,0.413328952146557,0.00651367262845,0.000243223259867877,1.28609778877517e-05,0,1,605.6667129
