Scenario,Seed,HCL_NRE,pTRPCA_NRE,DeltaNRE,HCL_Win,Tie
EB,20270001,0.00833985356864444,0.0163407004937792,-0.00800084692513476,1,0
EB,20270002,0.00900312244511702,0.0162760646966012,-0.00727294225148418,1,0
EB,20270003,0.00823278613237907,0.0162960335163665,-0.00806324738398743,1,0
EB,20270004,0.00809771538401044,0.016253805199132,-0.00815608981512156,1,0
EB,20270005,0.0082689243571105,0.0161211888683381,-0.0078522645112276,1,0
EB,20270006,0.00809431421866826,0.0162677813919772,-0.00817346717330894,1,0
EB,20270007,0.00861690419086453,0.0162412092256816,-0.00762430503481707,1,0
EB,20270008,0.00835466798092916,0.0162175030873827,-0.00786283510645354,1,0
EB,20270009,0.00874610140978648,0.0162691841720645,-0.00752308276227802,1,0
EB,20270010,0.0114427183493719,0.0162415968108678,-0.0047988784614959,1,0
EB,20270011,0.0177803246177012,0.016242857626003,0.0015374669916982,0,0
EB,20270012,0.00974921598873585,0.0161817709415891,-0.00643255495285325,1,0
EB,20270013,0.00914038376034829,0.0162610069097407,-0.00712062314939241,1,0
EB,20270014,0.0119564447655854,0.0162235156083652,-0.0042670708427798,1,0
EB,20270015,0.0081178719483681,0.016247126979735,-0.0081292550313669,1,0
EB,20270016,0.00804502877913297,0.0162726300497214,-0.00822760127058843,1,0
EB,20270017,0.0376884705110559,0.0163174515596604,0.0213710189513955,0,0
EB,20270018,0.0106498468913257,0.0162300172959218,-0.0055801704045961,1,0
EB,20270019,0.00823134083787424,0.0163378815546696,-0.00810654071679536,1,0
EB,20270020,0.00959628038820148,0.0162245775188224,-0.00662829713062092,1,0
EB,20270021,0.00826275009053365,0.0162561869322058,-0.00799343684167215,1,0
EB,20270022,0.00840679189924365,0.0162945303016102,-0.00788773840236655,1,0
EB,20270023,0.00792800538448865,0.0162298421479701,-0.00830183676348145,1,0
EB,20270024,0.00817641127197428,0.0163456932602436,-0.00816928198826932,1,0
EB,20270025,0.00917191906421328,0.0162785340381767,-0.00710661497396342,1,0
EB,20270026,0.00834813321678382,0.0162819078508288,-0.00793377463404498,1,0
EB,20270027,0.00817226288390506,0.0162815407713424,-0.00810927788743734,1,0
EB,20270028,0.0518651640489752,0.0162518282958088,0.0356133357531664,0,0
EB,20270029,0.00815626234769897,0.0162396263394456,-0.00808336399174663,1,0
EB,20270030,0.00862719004641082,0.0161824212476591,-0.00755523120124828,1,0
ES,20270001,0.00786576595534475,0.0162680364542886,-0.00840227049894385,1,0
ES,20270002,0.00787392782793279,0.0162547144254934,-0.00838078659756061,1,0
ES,20270003,0.00787046168157006,0.0162794167357589,-0.00840895505418884,1,0
ES,20270004,0.00782636377381104,0.0162747668865712,-0.00844840311276016,1,0
ES,20270005,0.00790506797854918,0.0161403257060134,-0.00823525772746422,1,0
ES,20270006,0.00789726428153477,0.0162484330654705,-0.00835116878393573,1,0
ES,20270007,0.00785619682083998,0.0162796693160258,-0.00842347249518582,1,0
ES,20270008,0.00797337513451873,0.0161969176664625,-0.00822354253194377,1,0
ES,20270009,0.00785485047220466,0.0161847893111339,-0.00832993883892924,1,0
ES,20270010,0.00785879703913409,0.0161900205364818,-0.00833122349734771,1,0
ES,20270011,0.00788302167180282,0.0162581647302312,-0.00837514305842838,1,0
ES,20270012,0.00777249577045406,0.0161685320728179,-0.00839603630236384,1,0
ES,20270013,0.00792570496146008,0.0163136005673555,-0.00838789560589542,1,0
ES,20270014,0.00792706115957556,0.0162457134080436,-0.00831865224846804,1,0
ES,20270015,0.00781136553788976,0.0162776396282936,-0.00846627409040384,1,0
ES,20270016,0.00783294693697654,0.0162361251823985,-0.00840317824542196,1,0
ES,20270017,0.00795043480613375,0.0163169596657489,-0.00836652485961515,1,0
ES,20270018,0.00787053181063707,0.0162982789879647,-0.00842774717732763,1,0
ES,20270019,0.00786236539511074,0.0163262316295267,-0.00846386623441596,1,0
ES,20270020,0.00801929722092376,0.0162811891869809,-0.00826189196605714,1,0
ES,20270021,0.00790805591852608,0.0162155573979405,-0.00830750147941442,1,0
ES,20270022,0.00791175820832253,0.0162635725167178,-0.00835181430839527,1,0
ES,20270023,0.00783327139581915,0.0162496953629298,-0.00841642396711065,1,0
