Method,Scenario,N,MeanNRE,SDNRE
tSVD-LRA,EB,30,1.68317940926105,0.0115316749915864
tSVD-LRA,ES,30,1.61913172546533,0.00856615125421276
tSVD-LRA,BS,30,1.93299410988824,0.00817639317282352
tSVD-LRA,EBS,30,2.14491323132798,0.00850445043305253
TNN-TRPCA,EB,30,0.016856585991859,9.91144008085088e-05
TNN-TRPCA,ES,30,0.0167211075199233,9.35484667113545e-05
TNN-TRPCA,BS,30,0.0198771552897548,0.000162591734212189
TNN-TRPCA,EBS,30,0.0235334646594502,0.000133178352213638
p-TRPCA,EB,30,0.0162568671563903,4.79089021893613e-05
p-TRPCA,ES,30,0.0162513589957292,4.8705725619763e-05
p-TRPCA,BS,30,0.0165169552744971,4.39477469801365e-05
p-TRPCA,EBS,30,0.0168483638769457,5.5279920040343e-05
HCL-TRPCA,EB,30,0.0115089068926479,0.00942829136634959
HCL-TRPCA,ES,30,0.00788398809334436,5.43615250301965e-05
HCL-TRPCA,BS,30,0.008307830293883,5.96835347624958e-05
HCL-TRPCA,EBS,30,0.00881729132622876,0.000346697721300089
Oracle,EB,30,0.00781197896892083,4.90098535029378e-05
Oracle,ES,30,0.00779272748704857,4.86685567204233e-05
Oracle,BS,30,0.0082105258539463,5.43781578284563e-05
Oracle,EBS,30,0.0086590022854922,5.30596709839334e-05
