Variant,LevelMacroF1,EntryF1,BlockF1,SliceF1,Seed,Scenario
FullHCL,0.958952788283987,0.938213671202878,0.979691905365096,NaN,20270001,EB
Flat,0.246509388541165,0.49301877708233,0,NaN,20270001,EB
EntryOnly,0.246321613278274,0.492643226556549,0,NaN,20270001,EB
NoBlock,0.246321613278274,0.492643226556549,0,NaN,20270001,EB
NoSlice,0.958952788283987,0.938213671202878,0.979691905365096,NaN,20270001,EB
FullHCL,0.989249880554228,0.978499761108457,NaN,1,20270001,ES
Flat,0.247283264911857,0.494566529823714,NaN,0,20270001,ES
EntryOnly,0.247283264911857,0.494566529823714,NaN,0,20270001,ES
NoBlock,0.989249880554228,0.978499761108457,NaN,1,20270001,ES
NoSlice,0.489249880554228,0.978499761108457,NaN,0,20270001,ES
FullHCL,0.991587029322878,NaN,0.983174058645757,1,20270001,BS
Flat,0,NaN,0,0,20270001,BS
EntryOnly,0,NaN,0,0,20270001,BS
NoBlock,0.5,NaN,0,1,20270001,BS
NoSlice,0.327323652580628,NaN,0.654647305161255,0,20270001,BS
FullHCL,0.978798044780464,0.957099407715704,0.979294726625688,1,20270001,EBS
Flat,0.1105413720516,0.331624116154801,0,0,20270001,EBS
EntryOnly,0.110517511197453,0.331552533592359,0,0,20270001,EBS
NoBlock,0.498667958343425,0.496003875030274,0,1,20270001,EBS
NoSlice,0.537100998451161,0.957099407715704,0.654203587637778,0,20270001,EBS
FullHCL,0.955587484076314,0.930919263346025,0.980255704806603,NaN,20270002,EB
Flat,0.244371967226155,0.488743934452311,0,NaN,20270002,EB
EntryOnly,0.244187432931918,0.488374865863837,0,NaN,20270002,EB
NoBlock,0.244187432931918,0.488374865863837,0,NaN,20270002,EB
NoSlice,0.955587484076314,0.930919263346025,0.980255704806603,NaN,20270002,EB
FullHCL,0.989639783232388,0.979279566464775,NaN,1,20270002,ES
Flat,0.247382831373812,0.494765662747624,NaN,0,20270002,ES
EntryOnly,0.247382831373812,0.494765662747624,NaN,0,20270002,ES
NoBlock,0.989639783232388,0.979279566464775,NaN,1,20270002,ES
NoSlice,0.489639783232388,0.979279566464775,NaN,0,20270002,ES
FullHCL,0.990698635799917,NaN,0.981397271599835,1,20270002,BS
Flat,0,NaN,0,0,20270002,BS
EntryOnly,0,NaN,0,0,20270002,BS
NoBlock,0.5,NaN,0,1,20270002,BS
NoSlice,0.325401611930479,NaN,0.650803223860957,0,20270002,BS
FullHCL,0.978318972630754,0.956230031948882,0.978726885943381,1,20270002,EBS
Flat,0.110918544194107,0.332755632582322,0,0,20270002,EBS
EntryOnly,0.110906530921694,0.332719592765082,0,0,20270002,EBS
NoBlock,0.499540117946221,0.498620353838663,0,1,20270002,EBS
NoSlice,0.535847413096177,0.956230031948882,0.651312207339649,0,20270002,EBS
FullHCL,0.95888432168829,0.939092263071255,0.978676380305325,NaN,20270003,EB
Flat,0.247054565925449,0.494109131850899,0,NaN,20270003,EB
EntryOnly,0.24684612294094,0.49369224588188,0,NaN,20270003,EB
NoBlock,0.24684612294094,0.49369224588188,0,NaN,20270003,EB
NoSlice,0.95888432168829,0.939092263071255,0.978676380305325,NaN,20270003,EB
FullHCL,0.990656444657403,0.981312889314806,NaN,1,20270003,ES
Flat,0.24764207980653,0.495284159613059,NaN,0,20270003,ES
EntryOnly,0.24764207980653,0.495284159613059,NaN,0,20270003,ES
NoBlock,0.990656444657403,0.981312889314806,NaN,1,20270003,ES
NoSlice,0.490656444657403,0.981312889314806,NaN,0,20270003,ES
FullHCL,0.992479039947394,NaN,0.984958079894789,1,20270003,BS
Flat,0,NaN,0,0,20270003,BS
EntryOnly,0,NaN,0,0,20270003,BS
NoBlock,0.5,NaN,0,1,20270003,BS
NoSlice,0.327225559803386,NaN,0.654451119606772,0,20270003,BS
FullHCL,0.980417084595657,0.960295772383861,0.980955481403109,1,20270003,EBS
Flat,0.110843503910373,0.332530511731118,0,0,20270003,EBS
EntryOnly,0.110834505898907,0.33250351769672,0,0,20270003,EBS
NoBlock,0.499378411977731,0.498135235933193,0,1,20270003,EBS
NoSlice,0.538082784092144,0.960295772383861,0.653952579892572,0,20270003,EBS
FullHCL,0.958893736280232,0.939753357945173,0.97803411461529,NaN,20270004,EB
Flat,0.247253410600024,0.494506821200048,0,NaN,20270004,EB
EntryOnly,0.247044632086852,0.494089264173703,0,NaN,20270004,EB
NoBlock,0.247044632086852,0.494089264173703,0,NaN,20270004,EB
NoSlice,0.958893736280232,0.939753357945173,0.97803411461529,NaN,20270004,EB
FullHCL,0.989094093297246,0.978188186594491,NaN,1,20270004,ES
Flat,0.247243460764588,0.494486921529175,NaN,0,20270004,ES
EntryOnly,0.247243460764588,0.494486921529175,NaN,0,20270004,ES
NoBlock,0.989094093297246,0.978188186594491,NaN,1,20270004,ES
NoSlice,0.489094093297246,0.978188186594491,NaN,0,20270004,ES
FullHCL,0.992473295665443,NaN,0.984946591330886,1,20270004,BS
Flat,0,NaN,0,0,20270004,BS
EntryOnly,0,NaN,0,0,20270004,BS
NoBlock,0.5,NaN,0,1,20270004,BS
NoSlice,0.326837279321199,NaN,0.653674558642398,0,20270004,BS
FullHCL,0.979297740239632,0.957898119877872,0.979995100841022,1,20270004,EBS
Flat,0.110945583574853,0.332836750724559,0,0,20270004,EBS
EntryOnly,0.110930560069332,0.332791680207995,0,0,20270004,EBS
NoBlock,0.499594089949667,0.498782269849001,0,1,20270004,EBS
NoSlice,0.536833311994525,0.957898119877872,0.652601816105704,0,20270004,EBS
FullHCL,0.959593965825646,0.939018654961593,0.9801692766897,NaN,20270005,EB
Flat,0.246717262980364,0.493434525960728,0,NaN,20270005,EB
EntryOnly,0.246479720784691,0.492959441569383,0,NaN,20270005,EB
NoBlock,0.246479720784691,0.492959441569383,0,NaN,20270005,EB
NoSlice,0.959593965825646,0.939018654961593,0.9801692766897,NaN,20270005,EB
FullHCL,0.987890097673311,0.975780195346621,NaN,1,20270005,ES
Flat,0.246935412563804,0.493870825127607,NaN,0,20270005,ES
EntryOnly,0.246935412563804,0.493870825127607,NaN,0,20270005,ES
NoBlock,0.987890097673311,0.975780195346621,NaN,1,20270005,ES
NoSlice,0.487890097673311,0.975780195346621,NaN,0,20270005,ES
FullHCL,0.992015679801939,NaN,0.984031359603879,1,20270005,BS
Flat,0,NaN,0,0,20270005,BS
EntryOnly,0,NaN,0,0,20270005,BS
NoBlock,0.5,NaN,0,1,20270005,BS
NoSlice,0.326479204884593,NaN,0.652958409769187,0,20270005,BS
FullHCL,0.980453096082827,0.960609707180104,0.980749581068378,1,20270005,EBS
Flat,0.11097864961526,0.332935948845779,0,0,20270005,EBS
EntryOnly,0.110966623320329,0.332899869960988,0,0,20270005,EBS
NoBlock,0.499675113710201,0.499025341130604,0,1,20270005,EBS
NoSlice,0.537824421052961,0.960609707180104,0.652863555978778,0,20270005,EBS
FullHCL,0.961225148796729,0.941637289463376,0.980813008130081,NaN,20270006,EB
Flat,0.246074975969241,0.492149951938481,0,NaN,20270006,EB
EntryOnly,0.24586818200008,0.49173636400016,0,NaN,20270006,EB
NoBlock,0.24586818200008,0.49173636400016,0,NaN,20270006,EB
NoSlice,0.961225148796729,0.941637289463376,0.980813008130081,NaN,20270006,EB
FullHCL,0.988977317946677,0.977954635893355,NaN,1,20270006,ES
Flat,0.247213616062447,0.494427232124894,NaN,0,20270006,ES
EntryOnly,0.247213616062447,0.494427232124894,NaN,0,20270006,ES
NoBlock,0.988977317946677,0.977954635893355,NaN,1,20270006,ES
NoSlice,0.488977317946677,0.977954635893355,NaN,0,20270006,ES
FullHCL,0.991981248457932,NaN,0.983962496915865,1,20270006,BS
Flat,0,NaN,0,0,20270006,BS
EntryOnly,0,NaN,0,0,20270006,BS
NoBlock,0.5,NaN,0,1,20270006,BS
NoSlice,0.326831666939846,NaN,0.653663333879692,0,20270006,BS
FullHCL,0.973271862659333,0.939944903581267,0.979870684396731,1,20270006,EBS
Flat,0.110033579583613,0.33010073875084,0,0,20270006,EBS
EntryOnly,0.110012892135797,0.330038676407391,0,0,20270006,EBS
NoBlock,0.497541158862519,0.492623476587556,0,1,20270006,EBS
NoSlice,0.531108291974417,0.939944903581267,0.653379972341983,0,20270006,EBS
FullHCL,0.954281616865818,0.92991452991453,0.978648703817106,NaN,20270007,EB
Flat,0.245524296675192,0.491048593350384,0,NaN,20270007,EB
EntryOnly,0.245279252664777,0.490558505329554,0,NaN,20270007,EB
NoBlock,0.245279252664777,0.490558505329554,0,NaN,20270007,EB
NoSlice,0.954281616865818,0.92991452991453,0.978648703817106,NaN,20270007,EB
FullHCL,0.988938405220436,0.977876810440872,NaN,1,20270007,ES
Flat,0.247203669429468,0.494407338858936,NaN,0,20270007,ES
EntryOnly,0.247203669429468,0.494407338858936,NaN,0,20270007,ES
NoBlock,0.988938405220436,0.977876810440872,NaN,1,20270007,ES
NoSlice,0.488938405220436,0.977876810440872,NaN,0,20270007,ES
FullHCL,0.991762089134196,NaN,0.983524178268391,1,20270007,BS
Flat,0,NaN,0,0,20270007,BS
EntryOnly,0,NaN,0,0,20270007,BS
NoBlock,0.5,NaN,0,1,20270007,BS
NoSlice,0.326505496909698,NaN,0.653010993819395,0,20270007,BS
FullHCL,0.979473589054757,0.958236472945892,0.98018429421838,1,20270007,EBS
Flat,0.110855503531895,0.332566510595686,0,0,20270007,EBS
EntryOnly,0.110843503910373,0.332530511731118,0,0,20270007,EBS
NoBlock,0.499398608014055,0.498195824042165,0,1,20270007,EBS
NoSlice,0.537082971288369,0.958236472945892,0.653012440919216,0,20270007,EBS
FullHCL,0.958151362589871,0.936486803978385,0.979815921201356,NaN,20270008,EB
Flat,0.24504447014717,0.490088940294341,0,NaN,20270008,EB
EntryOnly,0.244888198015066,0.489776396030133,0,NaN,20270008,EB
NoBlock,0.244888198015066,0.489776396030133,0,NaN,20270008,EB
NoSlice,0.958151362589871,0.936486803978385,0.979815921201356,NaN,20270008,EB
FullHCL,0.989561752988048,0.979123505976096,NaN,1,20270008,ES
Flat,0.247362911667606,0.494725823335212,NaN,0,20270008,ES
EntryOnly,0.247362911667606,0.494725823335212,NaN,0,20270008,ES
NoBlock,0.989561752988048,0.979123505976096,NaN,1,20270008,ES
NoSlice,0.489561752988048,0.979123505976096,NaN,0,20270008,ES
FullHCL,0.99073278507426,NaN,0.981465570148521,1,20270008,BS
Flat,0,NaN,0,0,20270008,BS
EntryOnly,0,NaN,0,0,20270008,BS
NoBlock,0.5,NaN,0,1,20270008,BS
NoSlice,0.326553949195459,NaN,0.653107898390917,0,20270008,BS
FullHCL,0.978023427863555,0.955426202057252,0.978644081533412,1,20270008,EBS
Flat,0.110535405872193,0.33160621761658,0,0,20270008,EBS
EntryOnly,0.110517511197453,0.331552533592359,0,0,20270008,EBS
NoBlock,0.498667958343425,0.496003875030274,0,1,20270008,EBS
NoSlice,0.536248970278609,0.955426202057252,0.653320708778574,0,20270008,EBS
FullHCL,0.956455132640593,0.933726524910756,0.979183740370431,NaN,20270009,EB
Flat,0.246025707764386,0.492051415528771,0,NaN,20270009,EB
EntryOnly,0.245818996559174,0.491637993118348,0,NaN,20270009,EB
NoBlock,0.245818996559174,0.491637993118348,0,NaN,20270009,EB
NoSlice,0.956455132640593,0.933726524910756,0.979183740370431,NaN,20270009,EB
FullHCL,0.989639783232388,0.979279566464775,NaN,1,20270009,ES
Flat,0.247382831373812,0.494765662747624,NaN,0,20270009,ES
EntryOnly,0.247382831373812,0.494765662747624,NaN,0,20270009,ES
NoBlock,0.989639783232388,0.979279566464775,NaN,1,20270009,ES
NoSlice,0.489639783232388,0.979279566464775,NaN,0,20270009,ES
FullHCL,0.991514279843846,NaN,0.983028559687693,1,20270009,BS
Flat,0,NaN,0,0,20270009,BS
EntryOnly,0,NaN,0,0,20270009,BS
NoBlock,0.5,NaN,0,1,20270009,BS
NoSlice,0.326598039483385,NaN,0.65319607896677,0,20270009,BS
FullHCL,0.97912430100525,0.9576,0.97977290301575,1,20270009,EBS
Flat,0.110750594851828,0.332251784555483,0,0,20270009,EBS
EntryOnly,0.110741611917701,0.332224835753102,0,0,20270009,EBS
NoBlock,0.49917000688287,0.497510020648609,0,1,20270009,EBS
NoSlice,0.536912544199969,0.9576,0.653137632599908,0,20270009,EBS
FullHCL,0.93725268874052,0.896733007885843,0.977772369595198,NaN,20270010,EB
Flat,0.240337975277734,0.480675950555469,0,NaN,20270010,EB
EntryOnly,0.239953134153486,0.479906268306971,0,NaN,20270010,EB
NoBlock,0.239953134153486,0.479906268306971,0,NaN,20270010,EB
NoSlice,0.93725268874052,0.896733007885843,0.977772369595198,NaN,20270010,EB
FullHCL,0.988782816229117,0.977565632458234,NaN,1,20270010,ES
Flat,0.247163890900314,0.494327781800628,NaN,0,20270010,ES
EntryOnly,0.247163890900314,0.494327781800628,NaN,0,20270010,ES
NoBlock,0.988782816229117,0.977565632458234,NaN,1,20270010,ES
NoSlice,0.488782816229117,0.977565632458234,NaN,0,20270010,ES
FullHCL,0.991512219124159,NaN,0.983024438248319,1,20270010,BS
Flat,0,NaN,0,0,20270010,BS
EntryOnly,0,NaN,0,0,20270010,BS
NoBlock,0.5,NaN,0,1,20270010,BS
NoSlice,0.326834987457738,NaN,0.653669974915476,0,20270010,BS
FullHCL,0.978966739807228,0.957286834106543,0.97961338531514,1,20270010,EBS
Flat,0.110669800870012,0.332009402610035,0,0,20270010,EBS
EntryOnly,0.110660831036905,0.331982493110715,0,0,20270010,EBS
NoBlock,0.498988918547278,0.496966755641835,0,1,20270010,EBS
NoSlice,0.536929016946076,0.957286834106543,0.653500216731686,0,20270010,EBS
FullHCL,0.909257919629688,0.845553822152886,0.97296201710649,NaN,20270011,EB
Flat,0.232762539778754,0.465525079557509,0,NaN,20270011,EB
EntryOnly,0.232138134280425,0.464276268560849,0,NaN,20270011,EB
NoBlock,0.232138134280425,0.464276268560849,0,NaN,20270011,EB
NoSlice,0.909257919629688,0.845553822152886,0.97296201710649,NaN,20270011,EB
FullHCL,0.989327811404906,0.978655622809812,NaN,1,20270011,ES
Flat,0.247303171791982,0.494606343583964,NaN,0,20270011,ES
EntryOnly,0.247303171791982,0.494606343583964,NaN,0,20270011,ES
NoBlock,0.989327811404906,0.978655622809812,NaN,1,20270011,ES
NoSlice,0.489327811404906,0.978655622809812,NaN,0,20270011,ES
FullHCL,0.991702771192676,NaN,0.983405542385351,1,20270011,BS
Flat,0,NaN,0,0,20270011,BS
EntryOnly,0,NaN,0,0,20270011,BS
NoBlock,0.5,NaN,0,1,20270011,BS
NoSlice,0.327311313054361,NaN,0.654622626108723,0,20270011,BS
FullHCL,0.979665264922209,0.958410129016748,0.980585665749879,1,20270011,EBS
Flat,0.110547338875094,0.331642016625283,0,0,20270011,EBS
EntryOnly,0.110526457810518,0.331579373431555,0,0,20270011,EBS
NoBlock,0.498687981914335,0.496063945743006,0,1,20270011,EBS
NoSlice,0.537813643279368,0.958410129016748,0.655030800821355,0,20270011,EBS
FullHCL,0.944978372655188,0.912334197286172,0.977622548024205,NaN,20270012,EB
Flat,0.242491218376288,0.484982436752575,0,NaN,20270012,EB
EntryOnly,0.242223536369012,0.484447072738025,0,NaN,20270012,EB
NoBlock,0.242223536369012,0.484447072738025,0,NaN,20270012,EB
NoSlice,0.944978372655188,0.912334197286172,0.977622548024205,NaN,20270012,EB
FullHCL,0.988433102790365,0.97686620558073,NaN,1,20270012,ES
Flat,0.247074435999517,0.494148871999035,NaN,0,20270012,ES
EntryOnly,0.247074435999517,0.494148871999035,NaN,0,20270012,ES
NoBlock,0.988433102790365,0.97686620558073,NaN,1,20270012,ES
NoSlice,0.488433102790365,0.97686620558073,NaN,0,20270012,ES
FullHCL,0.991469409674888,NaN,0.982938819349775,1,20270012,BS
Flat,0,NaN,0,0,20270012,BS
EntryOnly,0,NaN,0,0,20270012,BS
NoBlock,0.5,NaN,0,1,20270012,BS
NoSlice,0.32598986162488,NaN,0.65197972324976,0,20270012,BS
FullHCL,0.977589579535101,0.953035143769968,0.979733594835336,1,20270012,EBS
Flat,0.110771560699895,0.332314682099684,0,0,20270012,EBS
EntryOnly,0.110768565092758,0.332305695278274,0,0,20270012,EBS
NoBlock,0.499230457675172,0.497691373025516,0,1,20270012,EBS
NoSlice,0.535094916446979,0.953035143769968,0.65224960557097,0,20270012,EBS
FullHCL,0.955995572430416,0.930820536683729,0.981170608177102,NaN,20270013,EB
Flat,0.245200941852576,0.490401883705152,0,NaN,20270013,EB
EntryOnly,0.244927247358979,0.489854494717959,0,NaN,20270013,EB
NoBlock,0.244927247358979,0.489854494717959,0,NaN,20270013,EB
NoSlice,0.955995572430416,0.930820536683729,0.981170608177102,NaN,20270013,EB
FullHCL,0.990538922155689,0.981077844311377,NaN,1,20270013,ES
Flat,0.247612138798211,0.495224277596421,NaN,0,20270013,ES
EntryOnly,0.247612138798211,0.495224277596421,NaN,0,20270013,ES
NoBlock,0.990538922155689,0.981077844311377,NaN,1,20270013,ES
NoSlice,0.490538922155689,0.981077844311377,NaN,0,20270013,ES
FullHCL,0.992106450157871,NaN,0.984212900315742,1,20270013,BS
Flat,0,NaN,0,0,20270013,BS
EntryOnly,0,NaN,0,0,20270013,BS
NoBlock,0.5,NaN,0,1,20270013,BS
NoSlice,0.327225630538514,NaN,0.654451261077028,0,20270013,BS
