Scenario,Variant,GroupCount,mean_LevelMacroF1,std_LevelMacroF1,mean_EntryF1,std_EntryF1,mean_BlockF1,std_BlockF1,mean_SliceF1,std_SliceF1
BS,EntryOnly,30,0,0,NaN,NaN,0,0,0,0
BS,Flat,30,0,0,NaN,NaN,0,0,0,0
BS,FullHCL,30,0.991609323061515,0.000506443749353454,NaN,NaN,0.98321864612303,0.0010128874987069,1,0
BS,NoBlock,30,0.5,0,NaN,NaN,0,0,1,0
BS,NoSlice,30,0.32657333376784,0.000621416608379718,NaN,NaN,0.65314666753568,0.00124283321675944,0,0
EB,EntryOnly,30,0.243145271581343,0.00597514644064427,0.486290543162686,0.0119502928812885,0,0,NaN,NaN
EB,Flat,30,0.243421524065367,0.00572670457408794,0.486843048130733,0.0114534091481759,0,0,NaN,NaN
EB,FullHCL,30,0.949417003539441,0.0200458256625544,0.921488990645062,0.0320635910198669,0.97734501643382,0.0101035428871921,NaN,NaN
EB,NoBlock,30,0.243145271581343,0.00597514644064427,0.486290543162686,0.0119502928812885,0,0,NaN,NaN
EB,NoSlice,30,0.949417003539441,0.0200458256625544,0.921488990645062,0.0320635910198669,0.97734501643382,0.0101035428871921,NaN,NaN
EBS,EntryOnly,30,0.1107462898516,0.000210065780885377,0.332238869554801,0.000630197342656132,0,0,0,0
EBS,Flat,30,0.110758861403947,0.000208463615012356,0.332276584211842,0.000625390845037067,0,0,0,0
EBS,FullHCL,30,0.978885515951028,0.00142772714514899,0.956905754974964,0.00380092267458859,0.97975079287812,0.000911415736632142,1,0
EBS,NoBlock,30,0.49918092671719,0.000470441063991728,0.497542780151571,0.00141132319197517,0,0,1,0
EBS,NoSlice,30,0.536649880563332,0.00138434292425052,0.956905754974964,0.00380092267458859,0.653043886715033,0.00111104222401466,0,0
ES,EntryOnly,30,0.247292710326863,0.000199740285983337,0.494585420653725,0.000399480571966674,NaN,NaN,0,0
ES,Flat,30,0.247292710326863,0.000199740285983337,0.494585420653725,0.000399480571966674,NaN,NaN,0,0
ES,FullHCL,30,0.989280673721476,0.00078376323191972,0.978561347442953,0.00156752646383943,NaN,NaN,1,0
ES,NoBlock,30,0.989287453155706,0.000782022429818516,0.978574906311413,0.00156404485963703,NaN,NaN,1,0
ES,NoSlice,30,0.489280673721476,0.000783763231919714,0.978561347442953,0.00156752646383943,NaN,NaN,0,0
