Seed,Scenario,NRE,DetectionF1,RecoveryMaskF1,LevelMacroF1,ActiveAttributionMass,SelectedFraction
20271001,WEAK_EBS,0.00828285092317713,0.999430662871086,0.995963623984827,0.977956924941947,NaN,0.2520263671875
20271001,OVERLAP_EBS,0.0106236429903977,0.998052648050909,0.989500675699089,NaN,0.971776739965141,0.235896809895833
20271002,WEAK_EBS,0.00840628923045396,0.99931687323119,0.996238163185887,0.979580118514339,NaN,0.251888020833333
20271002,OVERLAP_EBS,0.020232600092779,0.990824722373292,0.978827904365977,NaN,0.973334160155369,0.233805338541667
20271003,WEAK_EBS,0.00847296028108966,0.999235909024402,0.988548636129696,0.978267673147047,NaN,0.255891927083333
20271003,OVERLAP_EBS,0.0119463826326351,0.997620793903508,0.98051718030464,NaN,0.974286959015855,0.2322509765625
20271004,WEAK_EBS,0.00830414919347549,0.999546602759246,0.997898412493129,0.979166202052944,NaN,0.252229817708333
20271004,OVERLAP_EBS,0.0109841039444488,0.998847644655516,0.987559509330368,NaN,0.972054006820056,0.235481770833333
20271005,WEAK_EBS,0.00841571206456912,0.999464085616383,0.998005416186939,0.979522187972427,NaN,0.251424153645833
20271005,OVERLAP_EBS,0.0103363161094302,0.998546612222299,0.988756306283038,NaN,0.973271971855686,0.237589518229167
20271006,WEAK_EBS,0.00833986998048246,0.999236901495348,0.997698018999449,0.978461968313953,NaN,0.251578776041667
20271006,OVERLAP_EBS,0.0167860228653081,0.996972825421267,0.985849964143914,NaN,0.97248018477107,0.233146158854167
20271007,WEAK_EBS,0.00839430793667907,0.999432067113441,0.997425142912665,0.976973732630557,NaN,0.251912434895833
20271007,OVERLAP_EBS,0.0129547200641812,0.997565439909015,0.978017536769228,NaN,0.974201290123501,0.2345458984375
20271008,WEAK_EBS,0.00830486763167517,0.999560911352881,0.997516919032085,0.978218941907297,NaN,0.2513427734375
20271008,OVERLAP_EBS,0.0105364099902039,0.998227852543295,0.985714783457022,NaN,0.971564356209752,0.235367838541667
20271009,WEAK_EBS,0.00843917903654813,0.999254577864204,0.994965793210275,0.979942109464953,NaN,0.253450520833333
20271009,OVERLAP_EBS,0.0125382093616521,0.997881355932203,0.978584043483479,NaN,0.973539964880657,0.240657552083333
20271010,WEAK_EBS,0.0083425097747131,0.999447998181641,0.996680968185866,0.981603301572412,NaN,0.252156575520833
20271010,OVERLAP_EBS,0.0122497640282671,0.998181408801981,0.983819104118305,NaN,0.971223557578186,0.238557942708333
20271011,WEAK_EBS,0.00832769022570429,0.99946373726376,0.997356771044481,0.97976311400384,NaN,0.2515869140625
20271011,OVERLAP_EBS,0.0109379232568494,0.998263127423288,0.986588534854113,NaN,0.974302347530734,0.2348388671875
20271012,WEAK_EBS,0.00835506976038343,0.99934997399896,0.997178530890222,0.981632658337309,NaN,0.251643880208333
20271012,OVERLAP_EBS,0.0122768785105361,0.997384637431929,0.980051822667093,NaN,0.975484958996893,0.23173828125
20271013,WEAK_EBS,0.00840818301354503,0.999333214070809,0.997921268026504,0.977905623166076,NaN,0.25107421875
20271013,OVERLAP_EBS,0.0102039470550311,0.998576024471283,0.992778705086533,NaN,0.971167298541318,0.231819661458333
20271014,WEAK_EBS,0.00834839002714398,0.999432435500349,0.998250728862974,0.979679083363925,NaN,0.25166015625
20271014,OVERLAP_EBS,0.0125604521146498,0.997990217874611,0.987841891340232,NaN,0.975294835722507,0.229947916666667
20271015,WEAK_EBS,0.00834412009924569,0.999449784768748,0.998205944626723,0.977801675072407,NaN,0.252205403645833
20271015,OVERLAP_EBS,0.0108420570385703,0.998222800936109,0.986557916477054,NaN,0.973463898982654,0.233935546875
20271016,WEAK_EBS,0.00836790830910513,0.999414862492686,0.99733990786998,0.981000125705762,NaN,0.251529947916667
20271016,OVERLAP_EBS,0.010613742573425,0.998458474062527,0.990434422266731,NaN,0.971568017481511,0.236564127604167
20271017,WEAK_EBS,0.00833908888765728,0.999449998382348,0.99672511978318,0.977407331479664,NaN,0.2530517578125
20271017,OVERLAP_EBS,0.0108648587067748,0.998230589567556,0.98343801536896,NaN,0.974284785397707,0.234122721354167
20271018,WEAK_EBS,0.00838673420568528,0.999269350046274,0.996034892942109,0.979759204731422,NaN,0.2524169921875
20271018,OVERLAP_EBS,0.0162980930689549,0.988808038808039,0.969167065909247,NaN,0.9745948214544,0.243147786458333
20271019,WEAK_EBS,0.00832491100312982,0.99930061968349,0.996383568752737,0.980714521285049,NaN,0.251814778645833
20271019,OVERLAP_EBS,0.0112813679664248,0.998311021032233,0.989516329649241,NaN,0.974031230547701,0.229296875
20271020,WEAK_EBS,0.00839997713140995,0.999595161368678,0.996883125272525,0.980850571317531,NaN,0.252742513020833
20271020,OVERLAP_EBS,0.00987144434203985,0.99817210598236,0.984615926212772,NaN,0.974722848942203,0.233235677083333
